ISBN10,ISBN13,Title,Author,Cover,Publisher,Pages,,
553582747,9.78055E+12,From The Corner Of His Eye,Dean Koontz,http://www.openisbn.com/cover/0553582747_72.jpg,Bantam,768,,
425182908,9.78043E+12,Isle Of Dogs (Andy Brazil),Patricia Cornwell,http://www.openisbn.com/cover/0425182908_72.jpg,Berkley,432,,
042518630X,9.78043E+12,Purity In Death,J.D. Robb,http://www.openisbn.com/cover/042518630X_72.jpg,Berkley,368,,
440223571,9.78044E+12,This Year It Will Be Different And Other Stories - A Christmas Treasury,Maeve Binchy,http://www.openisbn.com/cover/0440223571_72.jpg,Dell,0,,
812523873,9.78081E+12,Proxies,Laura J. Mixon,http://www.openisbn.com/cover/0812523873_72.jpg,Tor Books,480,,
842342702,9.78084E+12,Left Behind: A Novel Of The Earth's Last Days (Left Behind #1),Tim LaHaye,,,,,
440225701,9.78044E+12,The Street Lawyer,John Grisham,http://www.openisbn.com/cover/0440225701_72.jpg,Dell,464,,
60914068,9.78006E+12,Love,,,,,,
156047624,9.78016E+12,All The King's Men,Robert Penn Warren,http://www.openisbn.com/cover/0156047624_72.jpg,Harcourt,438,,
245542957,9.78025E+12,Pacific Northwest,Hans Johannes Hoefer,http://www.openisbn.com/cover/0245542957_72.jpg,Chambers,0,,
380715899,9.78038E+12,Soldier Of The Great War,Mark Helprin,http://www.openisbn.com/cover/0380715899_72.jpg,Avon Books,736,,
553280333,9.78055E+12,Getting Well Again: The Bestselling Classic About The Simontons' Revolutionary Lifesaving Self- Awareness Techniques,O. Carl Simonton M.D.,,,,,
961769947,9.78096E+12,Northwest Wines And Wineries,Chuck Hill,http://www.openisbn.com/cover/0961769947_72.jpg,Speed Graphics,236,,
964778319,9.78096E+12,An Atmosphere Of Eternity: Stories Of India,David Iglehart,http://www.openisbn.com/cover/0964778319_72.jpg,Sunflower Pub Co,157,,
671623249,9.78067E+12,Lonesome Dove,Larry McMurtry,http://www.openisbn.com/cover/0671623249_72.jpg,Pocket Books,945,,
679810307,9.78068E+12,Shabanu: Daughter Of The Wind (Border Trilogy),Suzanne Fisher Staples,http://www.openisbn.com/cover/0679810307_72.jpg,Laurel Leaf,256,,
679865691,9.78068E+12,Haveli,Suzanne Fisher Staples,http://www.openisbn.com/cover/0679865691_72.jpg,Laurel Leaf,336,,
2070423204,9.78207E+12,Lieux Dits,Michel Tournier,http://www.openisbn.com/cover/2070423204_72.jpg,Gallimard,125,,
345260317,9.78035E+12,The Dragons Of Eden: Speculations On The Evolution Of Human Intelligence,Carl Sagan,http://www.openisbn.com/cover/0345260317_72.jpg,Ballantine Books,0,,
394743741,9.78039E+12,The Yawning Heights,Aleksandr Zinoviev,http://www.openisbn.com/cover/0394743741_72.jpg,Random House,828,,
042511774X,9.78043E+12,Breathing Lessons,Anne Tyler,http://www.openisbn.com/cover/042511774X_72.jpg,Berkley,352,,
804106304,9.7808E+12,The Joy Luck Club,Amy Tan,http://www.openisbn.com/cover/0804106304_72.jpg,Ballantine Books,352,,
1853262404,9.78185E+12,Heart Of Darkness &amp; Other Stories (Wordsworth Collection),Joseph Conrad,http://www.openisbn.com/cover/1853262404_72.jpg,Wordsworth Editions Ltd,240,,
312970242,9.78031E+12,Deepak Chopra's The Angel Is Near,Deepak Chopra,,,,,
1853260053,9.78185E+12,Tess Of The D'Urbervilles (Wadsworth Collection),Thomas Hardy,http://www.openisbn.com/cover/1853260053_72.jpg,Wordsworth Edition Ltd,384,,
1414035004,9.78141E+12,The Adventures Of Drew And Ellie: The Magical Dress,Charles Noland,,,,,
60938412,9.78006E+12,The Accidental Virgin,Valerie Frankel,http://www.openisbn.com/cover/0060938412_72.jpg,William Morrow Paperbacks,277,,
140067477,9.78014E+12,The Tao Of Pooh,Benjamin Hoff,http://www.openisbn.com/cover/0140067477_72.jpg,Penguin (Non-Classics),176,,
345465083,9.78035E+12,Seabiscuit: An American Legend,Laura Hillenbrand,http://www.openisbn.com/cover/0345465083_72.jpg,Ballantine Books,453,,
451625889,9.78045E+12,The Prince (Mentor Series),Niccolo Machiavelli,http://www.openisbn.com/cover/0451625889_72.jpg,Signet,0,,
1558531025,9.78156E+12,Life's Little Instruction Book:  511 Suggestions,,,,,,
441783589,9.78044E+12,Starship Troopers,Robert A. Heinlein,http://www.openisbn.com/cover/0441783589_72.jpg,Ace,263,,
394895894,9.78039E+12,The Ruby In The Smoke (Sally Lockhart Trilogy,,,,,,
1569871213,9.78157E+12,Black Beauty (Illustrated Classics),,http://www.openisbn.com/cover/1569871213_72.jpg,Landoll,240,,
375410538,9.78038E+12,Anil's Ghost,Michael Ondaatje,http://www.openisbn.com/cover/0375410538_72.jpg,Knopf,311,,
966986105,9.78097E+12,Prescription For Terror,Sandra Levy Ceren,http://www.openisbn.com/cover/0966986105_72.jpg,Andrew Scott Pub,240,,
087113375X,9.78087E+12,Modern Manners: An Etiquette Book For Rude People,P. J. O'Rourke,http://www.openisbn.com/cover/087113375X_72.jpg,Atlantic Monthly Press,280,,
340767936,9.78034E+12,Turning Thirty,Mike Gayle,http://www.openisbn.com/cover/0340767936_72.jpg,Flame,384,,
743403843,9.78074E+12,Decipher,Stel Pavlou,http://www.openisbn.com/cover/0743403843_72.jpg,Simon &amp; Schuster,816,,
60930365,9.78006E+12,My First Cousin Once Removed: Money,,,,,,
60177586,9.78006E+12,Standing Firm: Dan Quayle,Dan Quayle,http://www.openisbn.com/cover/0060177586_72.jpg,HarperCollins,402,,
71416331,9.78007E+12,Team Bush : Leadership Lessons From The Bush White House,Donald F. Kettl,,,,,
375509038,9.78038E+12,The Right Man: The Surprise Presidency Of George W. Bush,,,,,,
553062042,9.78055E+12,The Daybreakers (The Louis L'Amour Collection),Louis L'Amour,http://www.openisbn.com/cover/0553062042_72.jpg,Bantam Doubleday Dell,198,,
316769487,9.78032E+12,The Catcher In The Rye,J.D. Salinger,http://www.openisbn.com/cover/0316769487_72.jpg,Little,,,
679429220,9.78068E+12,Midnight In The Garden Of Good And Evil,John Berendt,http://www.openisbn.com/cover/0679429220_72.jpg,Random House,388,,
671867156,9.78067E+12,Pretend You Don't See Her,Mary Higgins Clark,http://www.openisbn.com/cover/0671867156_72.jpg,Pocket Books,320,,
312252617,9.78031E+12,Fast Women,Jennifer Crusie,http://www.openisbn.com/cover/0312252617_72.jpg,St. Martin's Press,352,,
312261594,9.78031E+12,Female Intelligence,Jane Heller,http://www.openisbn.com/cover/0312261594_72.jpg,St. Martin's Press,336,,
316748641,9.78032E+12,Pasquale's Nose: Idle Days In An Italian Town,Michael Rips,http://www.openisbn.com/cover/0316748641_72.jpg,Back Bay Books,224,,
316973742,9.78032E+12,The Gospel Of Judas: A Novel,Simon Mawer,http://www.openisbn.com/cover/0316973742_72.jpg,Back Bay Books,352,,
385235941,9.78039E+12,Prize Stories 1987: The O. Henry Awards,William Abrahams,http://www.openisbn.com/cover/0385235941_72.jpg,Doubleday,320,,
446677450,9.78045E+12,Rich Dad,,,,,,
451166892,9.78045E+12,The Pillars Of The Earth,Ken Follett,http://www.openisbn.com/cover/0451166892_72.jpg,Signet,983,,
553347594,9.78055E+12,McDonald's: Behind The Arches,John F. Love,http://www.openisbn.com/cover/0553347594_72.jpg,Bantam,496,,
671621009,9.78067E+12,Creating Wealth: Retire In Ten Years Using Allen's Seven Principles Of Wealth!,Robert G. Allen,http://www.openisbn.com/cover/0671621009_72.jpg,Fireside,304,,
067976397X,9.78068E+12,Corelli's Mandolin: A Novel,Louis De Bernieres,http://www.openisbn.com/cover/067976397X_72.jpg,Vintage,437,,
684822733,9.78068E+12,Love,,,,,,
786868716,9.78079E+12,The Five People You Meet In Heaven,Mitch Albom,http://www.openisbn.com/cover/0786868716_72.jpg,Hyperion,198,,
671864769,9.78067E+12,Relics (Star Trek: The Next Generation),Michael Jan Friedman,,,,,
671521519,9.78067E+12,Bless The Beasts And Children,Glendon Swarthout,http://www.openisbn.com/cover/0671521519_72.jpg,Pocket,224,,
440222303,9.78044E+12,The Touch Of Your Shadow,,,,,,
312953453,9.78031E+12,Blood Oath,David Morrell,http://www.openisbn.com/cover/0312953453_72.jpg,St. Martin's Paperbacks,296,,
446608653,9.78045E+12,The Alibi,Sandra Brown,http://www.openisbn.com/cover/0446608653_72.jpg,Grand Central Publishing,592,,
446612545,9.78045E+12,The Beach House,James Patterson,,,,,
446612618,9.78045E+12,A Kiss Remembered,Sandra Brown,http://www.openisbn.com/cover/0446612618_72.jpg,Grand Central Publishing,224,,
451208080,9.78045E+12,The Short Forever (Stone Barrington),Stuart Woods,http://www.openisbn.com/cover/0451208080_72.jpg,Signet,432,,
553584383,9.78055E+12,Dead Aim,Iris Johansen,http://www.openisbn.com/cover/0553584383_72.jpg,Bantam,368,,
671027360,9.78067E+12,Angels &amp; Demons,Dan Brown,http://www.openisbn.com/cover/0671027360_72.jpg,Pocket Star,608,,
812575954,9.78081E+12,The Deal,Joe Hutsko,http://www.openisbn.com/cover/0812575954_72.jpg,Forge,320,,
316735736,9.78032E+12,All He Ever Wanted: A Novel,Anita Shreve,http://www.openisbn.com/cover/0316735736_72.jpg,Back Bay Books,352,,
743439740,9.78074E+12,Every Breath You Take : A True Story Of Obsession,,,,,,
345372700,9.78035E+12,If I Ever Get Back To Georgia,,,,,,
380619458,9.78038E+12,The Mosquito Coast,Paul Theroux,http://www.openisbn.com/cover/0380619458_72.jpg,Avon Books (Mm),370,,
446325805,9.78045E+12,If Love Were Oil,,,,,,
451406923,9.78045E+12,Good-Bye,,,,,,
671042858,9.78067E+12,The Girl Who Loved Tom Gordon,Stephen King,http://www.openisbn.com/cover/0671042858_72.jpg,Pocket Books,272,,
743249992,9.78074E+12,Bringing Down The House: The Inside Story Of Six M.I.T. Students Who Took Vegas For Millions,Ben Mezrich,http://www.openisbn.com/cover/0743249992_72.jpg,Free Press,257,,
840734530,9.78084E+12,The Oneprince (The Redaemian Chronicles,,,,,,
425184226,9.78043E+12,The Sum Of All Fears,Tom Clancy,http://www.openisbn.com/cover/0425184226_72.jpg,Berkley,928,,
375500766,9.78038E+12,Care Packages: Letters To Christopher Reeve From Strangers And Other Friends,Dana Reeve,http://www.openisbn.com/cover/0375500766_72.jpg,Random House,192,,
9724119378,9.78972E+12,O Deus Das Pequenas Coisas (Spanish Edition),Roy,http://www.openisbn.com/cover/9724119378_72.jpg,Edicoes Asa,0,,
451205197,9.78045E+12,Lady In Green And Minor Indiscretions (Signet Regency Romance),Barbara Metzger,http://www.openisbn.com/cover/0451205197_72.jpg,Signet,480,,
60929790,9.78006E+12,One Hundred Years Of Solitude,Gabriel Garcia Marquez,http://www.openisbn.com/cover/0060929790_72.jpg,Perennial,464,,
60976845,9.78006E+12,Little Altars Everywhere,Rebecca Wells,http://www.openisbn.com/cover/0060976845_72.jpg,Harper Paperbacks,240,,
61099325,9.78006E+12,COYOTE WAITS                MM (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,http://www.openisbn.com/cover/0061099325_72.jpg,HarperTorch,368,,
671004573,9.78067E+12,Before I Say Good-Bye,Mary Higgins Clark,http://www.openisbn.com/cover/0671004573_72.jpg,Pocket Books,416,,
446601640,9.78045E+12,Slow Waltz In Cedar Bend,Robert James Waller,http://www.openisbn.com/cover/0446601640_72.jpg,Warner Books,,,
330484516,9.78033E+12,Twenty Minute Retreats (A Pan Self-Discovery Title),Rachel Harris,http://www.openisbn.com/cover/0330484516_72.jpg,Pan Macmillan,256,,
038572179X,9.78039E+12,Atonement: A Novel,Ian McEwan,http://www.openisbn.com/cover/038572179X_72.jpg,Anchor,368,,
393020371,9.78039E+12,Next: The Future Just Happened,Michael Lewis,http://www.openisbn.com/cover/0393020371_72.jpg,W. W. Norton &amp; Company,192,,
1900850303,9.7819E+12,Angelic Darkness,Richard Zimler,http://www.openisbn.com/cover/1900850303_72.jpg,Arcadia Books,247,,
1903019699,9.7819E+12,The Soulbane Stratagem: Diabolical Subterfuge Which Threatens To Destroy Us...,Norman Jetmundsen,http://www.openisbn.com/cover/1903019699_72.jpg,John Hunt Pub,290,,
345425294,9.78035E+12,Gangster,Lorenzo Carcaterra,http://www.openisbn.com/cover/0345425294_72.jpg,Fawcett,416,,
451410319,9.78045E+12,Hush,Anne Frasier,http://www.openisbn.com/cover/0451410319_72.jpg,Onyx,384,,
553583468,9.78055E+12,Whisper Of Evil (Evil Trilogy),Kay Hooper,http://www.openisbn.com/cover/0553583468_72.jpg,Bantam,416,,
380778556,9.78038E+12,Rebecca,Daphne Du Maurier,http://www.openisbn.com/cover/0380778556_72.jpg,Avon,384,,
451525221,9.78045E+12,The Scarlet Letter (Signet Classics),Nathaniel Hawthorne,,,,,
2740230,9.78E+12,Keep It Simple: And Get More Out Of Life,Nick Page,http://www.openisbn.com/cover/0002740230_72.jpg,HarperCollins UK,96,,
385336772,9.78039E+12,Diary Of A Mad Mom-to-Be,Laura Wolf,http://www.openisbn.com/cover/0385336772_72.jpg,Delta,321,,
440949424,9.78044E+12,Locked In Time,Lois Duncan,http://www.openisbn.com/cover/0440949424_72.jpg,Laurel Leaf,210,,
505524996,9.78051E+12,Contact,Susan Grant,http://www.openisbn.com/cover/0505524996_72.jpg,Love Spell,384,,
140252800,9.78014E+12,Brimstone Wedding,Barbara Vine,http://www.openisbn.com/cover/0140252800_72.jpg,Penguin Books Ltd,320,,
451452755,9.78045E+12,The Catswold Portal,Shirley Rousseau Murphy,http://www.openisbn.com/cover/0451452755_72.jpg,Roc,432,,
812575482,9.78081E+12,Through Wolf's Eyes (Wolf,,,,,,
044651747X,9.78045E+12,Puerto Vallarta Squeeze,Robert James Waller,http://www.openisbn.com/cover/044651747X_72.jpg,Grand Central Publishing,224,,
60801263,9.78006E+12,A Tree Grows In Brooklyn,Betty Smith,http://www.openisbn.com/cover/0060801263_72.jpg,Harpercollins Publisher,432,,
61030147,9.78006E+12,Cybill Disobedience,Cybill Shepherd,,,,,
140250964,9.78014E+12,Snow Angels: A Novel,Stewart O'Nan,http://www.openisbn.com/cover/0140250964_72.jpg,Penguin Books,320,,
446527165,9.78045E+12,Wish You Well,David Baldacci,http://www.openisbn.com/cover/0446527165_72.jpg,Warner Books,400,,
671461494,9.78067E+12,The Hitchhiker's Guide To The Galaxy,Douglas Adams,http://www.openisbn.com/cover/0671461494_72.jpg,Pocket,0,,
385337639,9.78039E+12,Crow Lake (Today Show Book Club #7),Mary Lawson,http://www.openisbn.com/cover/0385337639_72.jpg,Dial Press Trade Paperback,320,,
039575514X,9.7804E+12,My Antonia,Willa Cather,http://www.openisbn.com/cover/039575514X_72.jpg,Mariner Books,272,,
451206673,9.78045E+12,Pen Pals,Olivia Goldsmith,http://www.openisbn.com/cover/0451206673_72.jpg,Signet,432,,
330332775,9.78033E+12,Bridget Jones's Diary,Helen Fielding,http://www.openisbn.com/cover/0330332775_72.jpg,Picador,320,,
486284735,9.78049E+12,Pride And Prejudice (Dover Thrift Editions),Jane Austen,,,,,
671021745,9.78067E+12,Eye On Crime: Hardy Boys #153,Franklin W. Dixon,http://www.openisbn.com/cover/0671021745_72.jpg,Aladdin,160,,
671047612,9.78067E+12,Skin And Bones,Franklin W. Dixon,http://www.openisbn.com/cover/0671047612_72.jpg,Aladdin,160,,
671504282,9.78067E+12,LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) (Hardy Boys,,,,,,
399138684,9.7804E+12,The Cat Who Came To Breakfast,Lilian Jackson Braun,http://www.openisbn.com/cover/0399138684_72.jpg,Putnam,254,,
785263292,9.78079E+12,If Singleness Is A Gift,,,,,,
830714014,9.78083E+12,Always Daddy's Girl: Understanding Your Father's Impact On Who You Are,H. Norman Wright,http://www.openisbn.com/cover/0830714014_72.jpg,Regal Books,284,,
345354931,9.78035E+12,Night Mare (The Magic Of Xanth,,,,,,
553278223,9.78055E+12,The Martian Chronicles (The Grand Master Editions),Ray Bradbury,http://www.openisbn.com/cover/0553278223_72.jpg,Spectra,192,,
3150000335,9.78315E+12,Kabale Und Liebe,Friedrich Schiller,,,,,
3257203659,9.78326E+12,Der Illustrierte Mann,Ray Bradbury,,,,,
3257207522,9.78326E+12,Der König In Gelb: Stories,Raymond Chandler,,,,,
3257208626,9.78326E+12,Fahrenheit 451,Ray Bradbury,http://www.openisbn.com/cover/3257208626_72.jpg,Diogenes Verlag,175,,
3257208634,9.78326E+12,Die Mars-Chroniken: Roman In Erzählungen,Ray Bradbury,,,,,
3257208669,9.78326E+12,Das Böse Kommt Auf Leisen Sohlen,Ray Bradbury,,,,,
3257210450,9.78326E+12,Löwenzahnwein,Ray Bradbury,,,,,
3257212054,9.78326E+12,Das Kind Von Morgen. Erzählungen.,Ray Bradbury,http://www.openisbn.com/cover/3257212054_72.jpg,Diogenes Verlag,367,,
3257212429,9.78326E+12,Die Mechanismen Der Freude. Erzählungen.,Ray Bradbury,http://www.openisbn.com/cover/3257212429_72.jpg,Diogenes Verlag,317,,
3257214154,9.78326E+12,Familientreffen - Erzählungen,Ray Bradbury,,,,,
3257216416,9.78326E+12,Der Tod Kommt Schnell In Mexico. Erzählungen.,Ray Bradbury,http://www.openisbn.com/cover/3257216416_72.jpg,Diogenes Verlag,0,,
3257233051,9.78326E+12,Veronika Beschließt Zu Sterben,Paulo Coelho,,,,,
342311360X,9.78342E+12,Die Liebe In Den Zeiten Der Cholera. Roman.,Gabriel García Márquez,http://www.openisbn.com/cover/342311360X_72.jpg,Dtv,503,,
3423116714,9.78342E+12,Die Klone Der Joanna May. Roman.,Fay Weldon,http://www.openisbn.com/cover/3423116714_72.jpg,Dtv,323,,
3423241489,9.78342E+12,Ist Mein Hintern Wirklich So Dick?,Arabella Weir,http://www.openisbn.com/cover/3423241489_72.jpg,Dtv,240,,
3426605686,9.78343E+12,Haifischfrauen,Kiana Davenport,,,,,
3453212150,9.78345E+12,Die Cappuccino Jahre,Sue Townsend,http://www.openisbn.com/cover/3453212150_72.jpg,Heyne,0,,
3462021095,9.78346E+12,Schwarzer Tee Mit Drei Stück Zucker,Renan Demirkan,http://www.openisbn.com/cover/3462021095_72.jpg,Kiepenheuer &amp; Witsch,139,,
3492045642,9.78349E+12,Querschüsse: Downsize This!,Michael Moore,,,,,
3498020862,9.7835E+12,Die Korrekturen,Jonathan Franzen,,,,,
3499110695,9.7835E+12,Neun Erzählungen,J. D. Salinger,,,,,
3499151502,9.7835E+12,Hebt Den Dachbalken Hoch,,,,,,
3518111000,9.78352E+12,Ulysses,James Joyce,,,,,
3548254268,9.78355E+12,Eine Ganz Normale Affäre,Joanna Trollope,http://www.openisbn.com/cover/3548254268_72.jpg,Ullstein Taschenbuch,320,,
3570300099,9.78357E+12,Das Intimleben Des Adrian Mole,,,,,,
3596292646,9.7836E+12,Das Buch Der Lächerlichen Liebe,Milan Kundera,http://www.openisbn.com/cover/3596292646_72.jpg,Fischer (Tb.),,,
60977493,9.78006E+12,The God Of Small Things,Arundhati Roy,http://www.openisbn.com/cover/0060977493_72.jpg,Harper Perennial,336,,
312872682,9.78031E+12,The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,Robert S. Levinson,http://www.openisbn.com/cover/0312872682_72.jpg,Forge,320,,
316602906,9.78032E+12,The Big Bad Wolf,James Patterson,http://www.openisbn.com/cover/0316602906_72.jpg,Little,,,
316693006,9.78032E+12,Four Blind Mice (Alex Cross),James Patterson,http://www.openisbn.com/cover/0316693006_72.jpg,Little,,,
345311396,9.78035E+12,Private Screening,Richard North Patterson,http://www.openisbn.com/cover/0345311396_72.jpg,Ballantine Books,441,,
345378490,9.78035E+12,Congo,Michael Crichton,http://www.openisbn.com/cover/0345378490_72.jpg,Ballantine,0,,
345404793,9.78035E+12,Protect And Defend,Richard North Patterson,http://www.openisbn.com/cover/0345404793_72.jpg,Ballantine Books,608,,
345433173,9.78035E+12,The Tall Pine Polka,Lorna Landvik,http://www.openisbn.com/cover/0345433173_72.jpg,Ballantine Books,448,,
375400117,9.78038E+12,Memoirs Of A Geisha,Arthur Golden,http://www.openisbn.com/cover/0375400117_72.jpg,Knopf,448,,
375705856,9.78038E+12,Plainsong,Kent Haruf,http://www.openisbn.com/cover/0375705856_72.jpg,Vintage,301,,
380717018,9.78038E+12,Body Of Evidence,Patricia D Cornwell,http://www.openisbn.com/cover/0380717018_72.jpg,Avon,0,,
380718332,9.78038E+12,All That Remains (Patricia Cornwell),Patricia D. Cornwell,http://www.openisbn.com/cover/0380718332_72.jpg,Avon,416,,
380754509,9.78038E+12,The Case Of The Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,,,,,
038076654X,9.78038E+12,Petals On The River,Kathleen E. Woodiwiss,http://www.openisbn.com/cover/038076654X_72.jpg,William Morrow Paperbacks,554,,
380807866,9.78038E+12,The Elusive Flame,Kathleen E. Woodiwiss,http://www.openisbn.com/cover/0380807866_72.jpg,Avon,496,,
385316895,9.78039E+12,Legacy Of Silence,Belva Plain,http://www.openisbn.com/cover/0385316895_72.jpg,Delacorte Press,352,,
385497466,9.78039E+12,The Brethren,John Grisham,http://www.openisbn.com/cover/0385497466_72.jpg,Doubleday,366,,
385508042,9.78039E+12,The King Of Torts,John Grisham,http://www.openisbn.com/cover/0385508042_72.jpg,Doubleday,384,,
385509456,9.78039E+12,The Curious Incident Of The Dog In The Night-Time: A Novel,Mark Haddon,http://www.openisbn.com/cover/0385509456_72.jpg,Doubleday,240,,
385511612,9.78039E+12,Bleachers,John Grisham,http://www.openisbn.com/cover/0385511612_72.jpg,Doubleday,176,,
